feature,coef
num_scaler__sentiment_polarity,-1.526638677737552
num_scaler__review_length_chars,-1.1636152102411836
num_scaler__exclamation_count,-0.23534211998843813
num_scaler__review_age_days,-0.12688148189580772
num_scaler__avg_sentence_length,-0.0713201237792003
num_scaler__helpful_vote,-0.024007298675534507
num_scaler__sentiment_subjectivity,-0.011761060098718938
num_scaler__capital_ratio,0.044896631560154186
verified_ohe__verified_purchase_True,0.8845345175601869
num_scaler__review_length_words,1.1473881070926848
