feature,coef
num_scaler__sentiment_polarity,-1.8235466837577847
num_scaler__review_length_chars,-0.2872144030334145
num_scaler__review_age_days,-0.06520204276527229
num_scaler__helpful_vote,-0.03970779265899312
num_scaler__exclamation_count,-0.03860215780525135
num_scaler__avg_sentence_length,0.1294418782992511
num_scaler__sentiment_subjectivity,0.14314776690834796
num_scaler__capital_ratio,0.15426850964009925
num_scaler__review_length_words,0.2062602586429074
verified_ohe__verified_purchase_True,1.2319067530528822
