feature,coef
num_scaler__sentiment_polarity,-1.5426509701655893
num_scaler__review_length_chars,-0.41349890654761545
num_scaler__capital_ratio,-0.06378101070755346
num_scaler__helpful_vote,-0.018009551876405044
num_scaler__exclamation_count,-0.013797041065720607
num_scaler__sentiment_subjectivity,0.00823019675824539
num_scaler__review_age_days,0.03880722656407284
num_scaler__avg_sentence_length,0.07104822968083428
num_scaler__review_length_words,0.3929192531606549
verified_ohe__verified_purchase_True,0.48528692990205846
