feature,coef
num_scaler__sentiment_polarity,-1.5734536851819385
num_scaler__review_length_words,-0.21651550403275793
num_scaler__helpful_vote,-0.16102388954075061
num_scaler__review_age_days,-0.09642401738860248
num_scaler__exclamation_count,-0.0302701952373586
num_scaler__capital_ratio,0.03272880705366629
num_scaler__sentiment_subjectivity,0.04576271315683245
num_scaler__avg_sentence_length,0.08115308308195172
num_scaler__review_length_chars,0.25849999719049455
verified_ohe__verified_purchase_True,0.7855422550958941
