feature,coef
num_scaler__sentiment_polarity,-1.1720562936039929
num_scaler__review_length_chars,-1.0702599699022795
early_access_ohe__early_access_review_Early Access Review,-0.7242346682426429
num_scaler__exclamation_count,-0.19076674597550058
num_scaler__sentiment_subjectivity,-0.15413315599495672
num_scaler__capital_ratio,-0.0416812604096743
num_scaler__playtime,0.03723301222965818
num_scaler__helpfulness,0.06798501584302705
num_scaler__review_age_days,0.19522198023538812
num_scaler__avg_sentence_length,0.21299641480638237
num_scaler__review_length_words,1.3576149129020045
